"항목_ID","물품","수량기준","계수","단가","예정재원","용도"
"P01","추가 인화지","참가자","1","800","학교지원금","인화 체험"
"P02","추가 잉크","참가자","1","400","학교지원금","인화 체험"
"P03","보호봉투","참가자","1","200","학교지원금","인화 체험"
"P04","기념스티커","참가자","1","1000","동아리회비","참여 기념품"
"P05","명찰","참가자","1","100","동아리회비","참가자 식별"
"P06","전시테이프","고정","10","2000","학교지원금","전시 설치"
"P07","포스터","고정","20","1000","학교지원금","행사 홍보"
"P08","안내판","고정","4","5000","학교지원금","행사 안내"
"P09","클립","고정","10","1000","동아리회비","전시 설치"
"P10","청소용품","고정","2","5000","동아리회비","행사 정리"
"P11","장갑","고정","10","1000","동아리회비","설치 작업"
"P12","보관상자","고정","2","10000","동아리회비","물품 보관"
