"거래_ID","거래일","행사_ID","재원","유형","항목","용도","금액","증빙","원거래_ID"
"T001","2026-07-01","E01","동아리회비","수입","회비배정","행사 운영 회비","500000","있음",""
"T002","2026-07-02","E01","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T003","2026-07-03","E01","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T004","2026-07-04","E01","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T005","2026-07-05","E01","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T006","2026-07-06","E01","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T007","2026-07-07","E01","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T008","2026-07-08","E01","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T009","2026-07-09","E01","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T010","2026-07-10","E01","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T011","2026-07-11","E01","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T012","2026-07-12","E01","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T013","2026-07-13","E01","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T014","2026-07-14","E01","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T015","2026-07-15","E01","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T016","2026-07-16","E01","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T017","2026-07-17","E01","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T018","2026-07-18","E01","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T019","2026-07-19","E01","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T020","2026-07-20","E01","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T021","2026-07-21","E01","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T022","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T023","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T024","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T025","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T026","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T027","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T028","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T029","2026-07-22","E01","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T030","2026-07-22","E01","동아리회비","환불입금","반품","운영물품 일부 반품","2000","있음","T002"
"T031","2026-08-01","E02","동아리회비","수입","회비배정","행사 운영 회비","500000","있음",""
"T032","2026-08-02","E02","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T033","2026-08-03","E02","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T034","2026-08-04","E02","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T035","2026-08-05","E02","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T036","2026-08-06","E02","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T037","2026-08-07","E02","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T038","2026-08-08","E02","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T039","2026-08-09","E02","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T040","2026-08-10","E02","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T041","2026-08-11","E02","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T042","2026-08-12","E02","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T043","2026-08-13","E02","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T044","2026-08-14","E02","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T045","2026-08-15","E02","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T046","2026-08-16","E02","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T047","2026-08-17","E02","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T048","2026-08-18","E02","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T049","2026-08-19","E02","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T050","2026-08-20","E02","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T051","2026-08-21","E02","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T052","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T053","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T054","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T055","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T056","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T057","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T058","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T059","2026-08-22","E02","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T060","2026-08-22","E02","동아리회비","환불입금","반품","운영물품 일부 반품","2000","있음","T032"
"T061","2026-09-01","E03","동아리회비","수입","회비배정","행사 운영 회비","500000","있음",""
"T062","2026-09-02","E03","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T063","2026-09-03","E03","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T064","2026-09-04","E03","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T065","2026-09-05","E03","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T066","2026-09-06","E03","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T067","2026-09-07","E03","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T068","2026-09-08","E03","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T069","2026-09-09","E03","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T070","2026-09-10","E03","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T071","2026-09-11","E03","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T072","2026-09-12","E03","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T073","2026-09-13","E03","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T074","2026-09-14","E03","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T075","2026-09-15","E03","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T076","2026-09-16","E03","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T077","2026-09-17","E03","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T078","2026-09-18","E03","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T079","2026-09-19","E03","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T080","2026-09-20","E03","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T081","2026-09-21","E03","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T082","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T083","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T084","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T085","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T086","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T087","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T088","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T089","2026-09-22","E03","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T090","2026-09-22","E03","동아리회비","환불입금","반품","운영물품 일부 반품","2000","있음","T062"
"T091","2026-09-15","E04","학교지원금","수입","지원금","E04 1차 학교지원금 입금","1000000","있음",""
"T092","2026-09-15","E04","동아리회비","수입","회비배정","E04 회비 추가 배정","280000","있음",""
"T093","2026-09-15","E04","학교지원금","지출","인화지","참가자 인화 체험 재료","200000","있음",""
"T094","2026-09-15","E04","학교지원금","지출","기념품","참가 기념 열쇠고리","70000","있음",""
"T095","2026-09-16","E04","학교지원금","지출","인화비","","50000","있음",""
"T096","2026-09-16","E04","학교지원금","지출","식음료","확정 참가자 140명 준비","420000","있음",""
"T097","2026-09-16","E04","학교지원금","지출","전시패널","행사 전시 설치","30000","없음",""
"T098","2026-09-16","E04","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T099","2026-09-17","E04","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T100","2026-09-17","E04","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T101","2026-09-17","E04","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T102","2026-09-17","E04","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T103","2026-09-18","E04","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T104","2026-09-18","E04","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T105","2026-09-18","E04","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T106","2026-09-18","E04","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T107","2026-09-19","E04","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T108","2026-09-19","E04","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T109","2026-09-19","E04","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T110","2026-09-19","E04","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T111","2026-09-20","E04","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T112","2026-09-20","E04","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T113","2026-09-20","E04","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T114","2026-09-20","E04","동아리회비","지출","운영물품","행사 운영 소모품","9000","있음",""
"T115","2026-09-21","E04","동아리회비","지출","운영물품","행사 운영 소모품","5000","있음",""
"T116","2026-09-21","E04","동아리회비","지출","운영물품","행사 운영 소모품","6000","있음",""
"T117","2026-09-21","E04","동아리회비","지출","운영물품","행사 운영 소모품","7000","있음",""
"T118","2026-09-21","E04","동아리회비","지출","운영물품","행사 운영 소모품","8000","있음",""
"T119","2026-09-22","E04","학교지원금","환불입금","인화지반품","미사용 인화지 일부 반품","20000","있음","T093"
"T120","2026-09-22","E04","동아리회비","환불입금","반품","운영물품 일부 반품","2000","있음","T098"
