신청ID,행사ID,신청상태,보드게임체험,식음료신청
A001,B01,확정,예,예
A002,B01,확정,예,예
A003,B01,확정,예,예
A004,B01,확정,아니오,예
A005,B01,확정,예,아니오
A006,B01,확정,예,예
A007,B01,확정,예,예
A008,B01,확정,아니오,예
A009,B01,확정,예,예
A010,B01,확정,예,아니오
A011,B01,확정,예,예
A012,B01,확정,아니오,예
A013,B01,확정,예,예
A014,B01,확정,예,예
A015,B01,확정,예,아니오
A016,B01,확정,아니오,예
A017,B01,확정,예,예
A018,B01,확정,예,예
A019,B01,확정,예,예
A020,B01,확정,아니오,아니오
A021,B01,확정,예,예
A022,B01,확정,예,예
A023,B01,확정,예,예
A024,B01,확정,아니오,예
A025,B01,확정,예,아니오
A026,B01,확정,예,예
A027,B01,확정,예,예
A028,B01,확정,아니오,예
A029,B01,확정,예,예
A030,B01,확정,예,아니오
A031,B01,확정,예,예
A032,B01,확정,아니오,예
A033,B01,확정,예,예
A034,B01,확정,예,예
A035,B01,확정,예,아니오
A036,B01,확정,아니오,예
A037,B01,확정,예,예
A038,B01,확정,예,예
A039,B01,확정,예,예
A040,B01,확정,아니오,아니오
A041,B01,확정,예,예
A042,B01,확정,예,예
A043,B01,확정,예,예
A044,B01,확정,아니오,예
A045,B01,확정,예,아니오
A046,B01,확정,예,예
A047,B01,확정,예,예
A048,B01,확정,아니오,예
A049,B01,확정,예,예
A050,B01,확정,예,아니오
A051,B01,확정,예,예
A052,B01,확정,아니오,예
A053,B01,확정,예,예
A054,B01,확정,예,예
A055,B01,확정,예,아니오
A056,B01,확정,아니오,예
A057,B01,확정,예,예
A058,B01,확정,예,예
A059,B01,확정,예,예
A060,B01,확정,아니오,아니오
A061,B01,확정,예,예
A062,B01,확정,예,예
A063,B01,확정,예,예
A064,B01,확정,아니오,예
A065,B01,확정,예,아니오
A066,B01,확정,예,예
A067,B01,확정,예,예
A068,B01,확정,아니오,예
A069,B01,확정,예,예
A070,B01,확정,예,아니오
A071,B01,확정,예,예
A072,B01,확정,아니오,예
A073,B01,확정,예,예
A074,B01,확정,예,예
A075,B01,확정,예,아니오
A076,B01,확정,아니오,예
A077,B01,확정,예,예
A078,B01,확정,예,예
A079,B01,확정,예,예
A080,B01,확정,아니오,아니오
A081,B01,확정,예,예
A082,B01,확정,예,예
A083,B01,확정,예,예
A084,B01,확정,아니오,예
A085,B01,확정,예,아니오
A086,B01,확정,예,예
A087,B01,확정,예,예
A088,B01,확정,아니오,예
A089,B01,확정,예,예
A090,B01,확정,예,아니오
A091,B01,확정,예,예
A092,B01,확정,아니오,예
A093,B01,확정,예,예
A094,B01,확정,예,예
A095,B01,확정,예,아니오
A096,B01,확정,아니오,예
A097,B01,확정,예,예
A098,B01,확정,예,예
A099,B01,확정,예,예
A100,B01,확정,아니오,아니오
A101,B01,확정,예,예
A102,B01,확정,예,예
A103,B01,확정,예,예
A104,B01,확정,아니오,예
A105,B01,확정,예,아니오
A106,B01,확정,예,예
A107,B01,확정,예,예
A108,B01,확정,아니오,예
A109,B01,확정,예,예
A110,B01,확정,예,아니오
A111,B01,확정,예,예
A112,B01,확정,아니오,예
A113,B01,확정,예,예
A114,B01,확정,예,예
A115,B01,확정,예,아니오
A116,B01,확정,아니오,예
A117,B01,확정,예,예
A118,B01,확정,예,예
A119,B01,확정,예,예
A120,B01,확정,아니오,아니오
A121,B01,확정,예,예
A122,B01,확정,예,예
A123,B01,확정,예,예
A124,B01,확정,아니오,예
A125,B01,확정,예,아니오
A126,B01,확정,예,예
A127,B01,확정,예,예
A128,B01,확정,아니오,예
A129,B01,확정,예,예
A130,B01,확정,예,아니오
A131,B01,확정,예,예
A132,B01,확정,아니오,예
A133,B01,확정,예,예
A134,B01,확정,예,예
A135,B01,확정,예,아니오
A136,B01,확정,아니오,예
A137,B01,확정,예,예
A138,B01,확정,예,예
A139,B01,확정,예,예
A140,B01,확정,아니오,아니오
A141,B01,확정,예,예
A142,B01,확정,예,예
A143,B01,확정,예,예
A144,B01,확정,아니오,예
A145,B01,확정,예,아니오
A146,B01,확정,예,예
A147,B01,확정,예,예
A148,B01,확정,아니오,예
A149,B01,확정,예,예
A150,B01,확정,예,아니오
A151,B01,대기,예,예
A152,B01,대기,아니오,예
A153,B01,대기,예,예
A154,B01,대기,예,예
A155,B01,대기,예,아니오
A156,B01,대기,아니오,예
A157,B01,대기,예,예
A158,B01,대기,예,예
A159,B01,대기,예,예
A160,B01,대기,아니오,아니오
A161,B01,대기,예,예
A162,B01,대기,예,예
A163,B01,대기,예,예
A164,B01,대기,아니오,예
A165,B01,대기,예,아니오
A166,B01,대기,예,예
A167,B01,대기,예,예
A168,B01,대기,아니오,예
A169,B01,대기,예,예
A170,B01,대기,예,아니오
A171,B01,대기,예,예
A172,B01,대기,아니오,예
A173,B01,대기,예,예
A174,B01,대기,예,예
A175,B01,대기,예,아니오
A176,B01,대기,아니오,예
A177,B01,대기,예,예
A178,B01,대기,예,예
A179,B01,대기,예,예
A180,B01,대기,아니오,아니오
A181,B01,대기,예,예
A182,B01,대기,예,예
A183,B01,대기,예,예
A184,B01,대기,아니오,예
A185,B01,대기,예,아니오
A186,B01,대기,예,예
A187,B01,대기,예,예
A188,B01,대기,아니오,예
A189,B01,대기,예,예
A190,B01,대기,예,아니오
A191,B01,대기,예,예
A192,B01,대기,아니오,예
A193,B01,대기,예,예
A194,B01,대기,예,예
A195,B01,대기,예,아니오
A196,B01,대기,아니오,예
A197,B01,대기,예,예
A198,B01,대기,예,예
A199,B01,대기,예,예
A200,B01,대기,아니오,아니오
A201,B01,대기,예,예
A202,B01,대기,예,예
A203,B01,대기,예,예
A204,B01,대기,아니오,예
A205,B01,대기,예,아니오
A206,B01,대기,예,예
A207,B01,대기,예,예
A208,B01,대기,아니오,예
A209,B01,대기,예,예
A210,B01,대기,예,아니오
A211,B01,취소,예,예
A212,B01,취소,아니오,예
A213,B01,취소,예,예
A214,B01,취소,예,예
A215,B01,취소,예,아니오
A216,B01,취소,아니오,예
A217,B01,취소,예,예
A218,B01,취소,예,예
A219,B01,취소,예,예
A220,B01,취소,아니오,아니오
A221,B01,취소,예,예
A222,B01,취소,예,예
A223,B01,취소,예,예
A224,B01,취소,아니오,예
A225,B01,취소,예,아니오
A226,B01,취소,예,예
A227,B01,취소,예,예
A228,B01,취소,아니오,예
A229,B01,취소,예,예
A230,B01,취소,예,아니오
A231,B01,취소,예,예
A232,B01,취소,아니오,예
A233,B01,취소,예,예
A234,B01,취소,예,예
A235,B01,취소,예,아니오
A236,B01,취소,아니오,예
A237,B01,취소,예,예
A238,B01,취소,예,예
A239,B01,취소,예,예
A240,B01,취소,아니오,아니오
