거래ID,행사ID,거래일,재원,유형,금액,용도,증빙ID
T001,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R001
T002,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R002
T003,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R003
T004,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R004
T005,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R005
T006,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R006
T007,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R007
T008,B01,2026-09-10,학교지원금,수입,60000,1차 지원금 분할 입금,R008
T009,B01,2026-09-11,학교지원금,수입,60000,1차 지원금 분할 입금,R009
T010,B01,2026-09-11,학교지원금,수입,60000,1차 지원금 분할 입금,R010
T011,B01,2026-09-11,학교지원금,지출,35000,공동 체험 재료,R011
T012,B01,2026-09-11,학교지원금,지출,35000,공동 체험 재료,R012
T013,B01,2026-09-11,학교지원금,지출,35000,공동 체험 재료,R013
T014,B01,2026-09-11,학교지원금,지출,35000,공동 체험 재료,R014
T015,B01,2026-09-11,학교지원금,지출,35000,공동 체험 재료,R015
T016,B01,2026-09-11,학교지원금,지출,35000,공동 체험 재료,R016
T017,B01,2026-09-12,학교지원금,지출,35000,공동 체험 재료,R017
T018,B01,2026-09-12,학교지원금,지출,35000,공동 체험 재료,R018
T019,B01,2026-09-12,학교지원금,지출,35000,공동 체험 재료,R019
T020,B01,2026-09-12,학교지원금,지출,35000,공동 체험 재료,R020
T021,B01,2026-09-12,동아리회비,수입,60000,참가비 입금,R021
T022,B01,2026-09-12,동아리회비,수입,60000,참가비 입금,R022
T023,B01,2026-09-12,동아리회비,수입,60000,참가비 입금,R023
T024,B01,2026-09-12,동아리회비,수입,60000,참가비 입금,R024
T025,B01,2026-09-13,동아리회비,수입,60000,참가비 입금,R025
T026,B01,2026-09-13,동아리회비,수입,60000,참가비 입금,R026
T027,B01,2026-09-13,동아리회비,지출,11000,운영 소모품,R027
T028,B01,2026-09-13,동아리회비,지출,11000,운영 소모품,R028
T029,B01,2026-09-13,동아리회비,지출,11000,운영 소모품,R029
T030,B01,2026-09-13,동아리회비,지출,11000,운영 소모품,R030
T031,B01,2026-09-13,동아리회비,지출,11000,운영 소모품,R031
T032,B01,2026-09-13,동아리회비,지출,11000,운영 소모품,R032
T033,B01,2026-09-14,동아리회비,지출,11000,운영 소모품,R033
T034,B01,2026-09-14,동아리회비,지출,11000,운영 소모품,R034
T035,B01,2026-09-14,동아리회비,지출,11000,운영 소모품,R035
T036,B01,2026-09-14,동아리회비,지출,11000,운영 소모품,R036
T037,B01,2026-09-14,동아리회비,환불입금,10000,운영 소모품 반품,R037
T038,B01,2026-09-14,동아리회비,환불입금,10000,운영 소모품 반품,R038
T039,B01,2026-09-14,동아리회비,환불지급,5000,취소 참가비 반환,R039
T040,B01,2026-09-14,동아리회비,환불지급,5000,취소 참가비 반환,R040
